,AGE,KNOWERLEV,GENDER,ID,PASS_SORT,PASS_DOUBLE,PASS_HITCH,PASS_SORT_1,PASS_DOUBLE_1,PASS_HITCH_1
0,4.821000000000001,5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0
35,3.055,1.0,MALE,7,1.0,1.0,0.0,0.0,0.0,0.0
69,5.273,1.0,MALE,8,1.0,1.0,1.0,0.0,0.0,1.0
108,3.548,4.0,FEMALE,10,0.0,0.0,0.0,0.0,0.0,0.0
144,5.415,9.0,FEMALE,13,1.0,1.0,1.0,1.0,1.0,0.0
190,3.9530000000000003,3.0,FEMALE,17,1.0,1.0,1.0,1.0,1.0,0.0
224,4.591,4.0,FEMALE,18,1.0,1.0,1.0,1.0,0.0,0.0
255,3.926,3.0,FEMALE,19,0.0,0.0,0.0,1.0,0.0,0.0
288,3.918,5.0,MALE,21,1.0,1.0,1.0,0.0,0.0,0.0
297,5.122999999999999,1.0,MALE,22,1.0,1.0,1.0,1.0,1.0,1.0
340,5.317,1.0,MALE,25,1.0,1.0,0.0,1.0,0.0,0.0
374,5.142,5.0,MALE,26,1.0,1.0,0.0,1.0,1.0,0.0
449,5.095,7.0,FEMALE,27,1.0,1.0,1.0,1.0,1.0,1.0
493,4.044,3.0,FEMALE,28,1.0,0.0,0.0,0.0,0.0,0.0
502,3.253,2.0,FEMALE,29,1.0,1.0,1.0,0.0,0.0,1.0
553,4.92,4.0,FEMALE,30,1.0,1.0,1.0,1.0,0.0,1.0
585,4.129,2.0,MALE,32,1.0,1.0,0.0,1.0,1.0,0.0
634,3.6630000000000003,2.0,FEMALE,34,0.0,1.0,0.0,0.0,0.0,0.0
665,,10.0,FEMALE,36,1.0,1.0,1.0,1.0,1.0,1.0
722,,10.0,MALE,38,1.0,1.0,1.0,1.0,1.0,1.0
780,,2.0,FEMALE,42,1.0,1.0,1.0,1.0,0.0,1.0
815,,6.0,FEMALE,43,1.0,1.0,1.0,1.0,1.0,1.0
862,,4.0,MALE,45,1.0,1.0,1.0,1.0,0.0,1.0
901,,4.0,MALE,46,0.0,1.0,0.0,0.0,0.0,0.0
